template_id,template_group,expected_structural_label,n,mean_p_yes,median_p_yes
S0_broad_original,broad,no,35,0.39342040843080806,0.3929967349708035
S0_broad_original,broad,uncertain,57,0.34683002602725727,0.3413491243756972
S0_broad_original,broad,yes,57,0.3577566764953701,0.3524297844498769
S1_attacker_rule,attacker,no,35,0.6452868910916137,0.6416459182434706
S1_attacker_rule,attacker,uncertain,57,0.5873923762868826,0.5839450823627743
S1_attacker_rule,attacker,yes,57,0.5972842027813701,0.6009851437754309
S2_length_meter_overestimate,overestimate,no,35,0.6929975262288549,0.692174576497579
S2_length_meter_overestimate,overestimate,uncertain,57,0.6434828518816472,0.6508313433413102
S2_length_meter_overestimate,overestimate,yes,57,0.6504581305113013,0.646555576418262
S3_short_generator,compression,no,35,0.6157958103434887,0.6123031639513674
S3_short_generator,compression,uncertain,57,0.6169405450376321,0.6291310969634223
S3_short_generator,compression,yes,57,0.612214510037311,0.6235183962740467
S4_reject_structured,policy,no,35,0.7952264256150263,0.8084187919185025
S4_reject_structured,policy,uncertain,57,0.7929818308582631,0.7942341047614042
S4_reject_structured,policy,yes,57,0.7961717413455247,0.8099155719045544
S5_simple_explanation,compression,no,35,0.58829434896423,0.5789809634110201
S5_simple_explanation,compression,uncertain,57,0.6147917822247979,0.6215599950570873
S5_simple_explanation,compression,yes,57,0.6167560908597336,0.6294124120392991
S6_sequence_specific,sequence,no,35,0.2876832255825695,0.2838372696964695
S6_sequence_specific,sequence,uncertain,57,0.2589635954189083,0.2239606199935302
S6_sequence_specific,sequence,yes,57,0.26930029188322907,0.22838506446458962
S7_semantic_specific,semantic,no,35,0.2995726745189854,0.2878590937158211
S7_semantic_specific,semantic,uncertain,57,0.3106615087339141,0.30863766498247164
S7_semantic_specific,semantic,yes,57,0.3247524552151809,0.3225395545950584
S8_not_random,broad,no,35,0.6231848900216481,0.6132937143286723
S8_not_random,broad,uncertain,57,0.5913763460044866,0.5956602707448448
S8_not_random,broad,yes,57,0.5978662175070272,0.5952153574094864
S9_security_auditor,attacker,no,35,0.43964155218353845,0.4305026748979914
S9_security_auditor,attacker,uncertain,57,0.4379121650833996,0.43814495336892834
S9_security_auditor,attacker,yes,57,0.44888464585216564,0.44974293107330154
